,G,Date,Start (ET),Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
6,7,"Mon, Nov 6, 2023",7:30p,Milwaukee Bucks,L,125,129,3,4,L 2,17935,2:20,2024,BRK
7,8,"Wed, Nov 8, 2023",7:30p,Los Angeles Clippers,W,100,93,4,4,W 1,17933,2:03,2024,BRK
8,9,"Fri, Nov 10, 2023",7:30p,Boston Celtics,L,107,121,4,5,L 1,19156,2:11,2024,BRK
9,10,"Sun, Nov 12, 2023",3:00p,Washington Wizards,W,102,94,5,5,W 1,17732,2:17,2024,BRK
10,11,"Tue, Nov 14, 2023",7:30p,Orlando Magic,W,124,104,6,5,W 2,17361,2:07,2024,BRK
11,12,"Thu, Nov 16, 2023",7:30p,Miami Heat,L,115,122,6,6,L 1,19866,2:17,2024,BRK
12,13,"Sun, Nov 19, 2023",3:00p,Philadelphia 76ers,L,99,121,6,7,L 2,17934,2:08,2024,BRK
13,14,"Wed, Nov 22, 2023",7:30p,Atlanta Hawks,L,145,147,6,8,L 3,17340,2:37,2024,BRK
14,15,"Sat, Nov 25, 2023",6:00p,Miami Heat,W,112,97,7,8,W 1,17817,2:10,2024,BRK
15,16,"Sun, Nov 26, 2023",7:30p,Chicago Bulls,W,118,109,8,8,W 2,16687,2:03,2024,BRK
16,17,"Tue, Nov 28, 2023",7:30p,Toronto Raptors,W,115,103,9,8,W 3,15844,2:11,2024,BRK
17,18,"Thu, Nov 30, 2023",7:30p,Charlotte Hornets,L,128,129,9,9,L 1,16072,2:01,2024,BRK
18,19,"Sat, Dec 2, 2023",7:00p,Orlando Magic,W,129,101,10,9,W 1,17966,2:20,2024,BRK
19,20,"Wed, Dec 6, 2023",7:30p,Atlanta Hawks,W,114,113,11,9,W 2,15906,2:21,2024,BRK
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,BRK
21,21,"Fri, Dec 8, 2023",7:30p,Washington Wizards,W,124,97,12,9,W 3,16587,2:09,2024,BRK
22,22,"Mon, Dec 11, 2023",10:00p,Sacramento Kings,L,118,131,12,10,L 1,17794,2:11,2024,BRK
23,23,"Wed, Dec 13, 2023",9:00p,Phoenix Suns,W,116,112,13,10,W 1,17071,2:20,2024,BRK
24,24,"Thu, Dec 14, 2023",9:00p,Denver Nuggets,L,101,124,13,11,L 1,19636,2:12,2024,BRK
25,25,"Sat, Dec 16, 2023",8:30p,Golden State Warriors,L,120,124,13,12,L 2,18064,2:14,2024,BRK
26,26,"Mon, Dec 18, 2023",9:00p,Utah Jazz,L,108,125,13,13,L 3,18206,2:10,2024,BRK
27,27,"Wed, Dec 20, 2023",7:30p,New York Knicks,L,102,121,13,14,L 4,18071,2:12,2024,BRK
28,28,"Fri, Dec 22, 2023",7:30p,Denver Nuggets,L,117,122,13,15,L 5,17732,2:17,2024,BRK
29,29,"Sat, Dec 23, 2023",7:30p,Detroit Pistons,W,126,115,14,15,W 1,17732,2:20,2024,BRK
30,30,"Tue, Dec 26, 2023",7:00p,Detroit Pistons,W,118,112,15,15,W 2,19811,2:27,2024,BRK
31,31,"Wed, Dec 27, 2023",7:30p,Milwaukee Bucks,L,122,144,15,16,L 1,18199,2:16,2024,BRK
32,32,"Fri, Dec 29, 2023",7:00p,Washington Wizards,L,104,110,15,17,L 2,16825,2:04,2024,BRK
33,33,"Sun, Dec 31, 2023",7:00p,Oklahoma City Thunder,L,108,124,15,18,L 3,18203,2:19,2024,BRK
34,34,"Tue, Jan 2, 2024",8:00p,New Orleans Pelicans,L,85,112,15,19,L 4,16253,1:56,2024,BRK
35,35,"Wed, Jan 3, 2024",8:00p,Houston Rockets,L,101,112,15,20,L 5,16563,2:15,2024,BRK
36,36,"Fri, Jan 5, 2024",7:30p,Oklahoma City Thunder,W,124,115,16,20,W 1,18147,2:22,2024,BRK
37,37,"Sun, Jan 7, 2024",3:00p,Portland Trail Blazers,L,127,134,16,21,L 1,17732,2:40,2024,BRK
38,38,"Thu, Jan 11, 2024",2:00p,Cleveland Cavaliers,L,102,111,16,22,L 2,15887,2:31,2024,BRK
39,39,"Mon, Jan 15, 2024",7:30p,Miami Heat,L,95,96,16,23,L 3,17893,2:28,2024,BRK
40,40,"Wed, Jan 17, 2024",10:00p,Portland Trail Blazers,L,103,105,16,24,L 4,17021,2:13,2024,BRK
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,BRK
42,41,"Fri, Jan 19, 2024",10:30p,Los Angeles Lakers,W,130,112,17,24,W 1,18997,2:11,2024,BRK
43,42,"Sun, Jan 21, 2024",3:30p,Los Angeles Clippers,L,114,125,17,25,L 1,19370,2:20,2024,BRK
44,43,"Tue, Jan 23, 2024",7:30p,New York Knicks,L,103,108,17,26,L 2,17732,2:12,2024,BRK
45,44,"Thu, Jan 25, 2024",7:30p,Minnesota Timberwolves,L,94,96,17,27,L 3,17732,2:15,2024,BRK
46,45,"Sat, Jan 27, 2024",6:00p,Houston Rockets,W,106,104,18,27,W 1,17732,2:26,2024,BRK
47,46,"Mon, Jan 29, 2024",7:30p,Utah Jazz,W,147,114,19,27,W 2,16054,2:10,2024,BRK
48,47,"Wed, Jan 31, 2024",8:30p,Phoenix Suns,L,120,136,19,28,L 1,17732,2:22,2024,BRK
49,48,"Sat, Feb 3, 2024",6:00p,Philadelphia 76ers,W,136,121,20,28,W 1,20673,2:11,2024,BRK
50,49,"Mon, Feb 5, 2024",7:30p,Golden State Warriors,L,98,109,20,29,L 1,17919,2:21,2024,BRK
51,50,"Tue, Feb 6, 2024",7:30p,Dallas Mavericks,L,107,119,20,30,L 2,17732,2:11,2024,BRK
52,51,"Thu, Feb 8, 2024",7:30p,Cleveland Cavaliers,L,95,118,20,31,L 3,17304,2:03,2024,BRK
53,52,"Sat, Feb 10, 2024",6:00p,San Antonio Spurs,W,123,103,21,31,W 1,18005,2:10,2024,BRK
54,53,"Tue, Feb 13, 2024",7:30p,Boston Celtics,L,110,118,21,32,L 1,18053,2:14,2024,BRK
55,54,"Wed, Feb 14, 2024",7:30p,Boston Celtics,L,86,136,21,33,L 2,19156,1:54,2024,BRK
56,55,"Thu, Feb 22, 2024",7:00p,Toronto Raptors,L,93,121,21,34,L 3,19800,2:13,2024,BRK
57,56,"Sat, Feb 24, 2024",9:00p,Minnesota Timberwolves,L,86,101,21,35,L 4,18024,2:20,2024,BRK
58,57,"Mon, Feb 26, 2024",8:00p,Memphis Grizzlies,W,111,86,22,35,W 1,15417,2:13,2024,BRK
59,58,"Tue, Feb 27, 2024",7:00p,Orlando Magic,L,81,108,22,36,L 1,17708,2:15,2024,BRK
60,59,"Thu, Feb 29, 2024",7:30p,Atlanta Hawks,W,124,97,23,36,W 1,17284,2:05,2024,BRK
61,60,"Sat, Mar 2, 2024",3:00p,Atlanta Hawks,W,114,102,24,36,W 2,18075,2:18,2024,BRK
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,BRK
63,61,"Mon, Mar 4, 2024",7:30p,Memphis Grizzlies,L,102,106,24,37,L 1,15847,2:28,2024,BRK
64,62,"Tue, Mar 5, 2024",7:30p,Philadelphia 76ers,W,112,107,25,37,W 1,17086,2:20,2024,BRK
65,63,"Thu, Mar 7, 2024",7:00p,Detroit Pistons,L,112,118,25,38,L 1,19011,2:14,2024,BRK
66,64,"Sat, Mar 9, 2024",7:00p,Charlotte Hornets,L,99,110,25,39,L 2,19090,2:08,2024,BRK
67,65,"Sun, Mar 10, 2024",7:00p,Cleveland Cavaliers,W,120,101,26,39,W 1,19432,2:05,2024,BRK
68,66,"Wed, Mar 13, 2024",7:00p,Orlando Magic,L,106,114,26,40,L 1,18846,2:19,2024,BRK
69,67,"Sat, Mar 16, 2024",7:00p,Indiana Pacers,L,100,121,26,41,L 2,17009,2:14,2024,BRK
70,68,"Sun, Mar 17, 2024",7:00p,San Antonio Spurs,L,115,122,26,42,L 3,16057,2:35,2024,BRK
71,69,"Tue, Mar 19, 2024",7:30p,New Orleans Pelicans,L,91,104,26,43,L 4,17732,2:05,2024,BRK
72,70,"Thu, Mar 21, 2024",8:00p,Milwaukee Bucks,L,108,115,26,44,L 5,17341,2:17,2024,BRK
73,71,"Sat, Mar 23, 2024",1:00p,New York Knicks,L,93,105,26,45,L 6,19812,2:00,2024,BRK
74,72,"Mon, Mar 25, 2024",7:30p,Toronto Raptors,W,96,88,27,45,W 1,18376,2:07,2024,BRK
75,73,"Wed, Mar 27, 2024",7:00p,Washington Wizards,W,122,119,28,45,W 2,15159,2:23,2024,BRK
76,74,"Fri, Mar 29, 2024",7:30p,Chicago Bulls,W,125,108,29,45,W 3,17894,2:13,2024,BRK
77,75,"Sun, Mar 31, 2024",6:00p,Los Angeles Lakers,L,104,116,29,46,L 1,18162,2:08,2024,BRK
78,76,"Mon, Apr 1, 2024",7:00p,Indiana Pacers,L,111,133,29,47,L 2,16522,2:20,2024,BRK
79,77,"Wed, Apr 3, 2024",7:30p,Indiana Pacers,W,115,111,30,47,W 1,17732,2:15,2024,BRK
80,78,"Sat, Apr 6, 2024",7:00p,Detroit Pistons,W,113,103,31,47,W 2,17732,2:07,2024,BRK
81,79,"Sun, Apr 7, 2024",7:30p,Sacramento Kings,L,77,107,31,48,L 1,17732,2:06,2024,BRK
82,80,"Wed, Apr 10, 2024",7:30p,Toronto Raptors,W,106,102,32,48,W 1,17732,2:20,2024,BRK
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,BRK
84,81,"Fri, Apr 12, 2024",7:30p,New York Knicks,L,107,111,32,49,L 1,19812,2:15,2024,BRK
85,82,"Sun, Apr 14, 2024",1:00p,Philadelphia 76ers,L,86,107,32,50,L 2,20246,2:01,2024,BRK
0,1,"Wed, Oct 25, 2023",7:30p,Minnesota Timberwolves,W,97,94,1,0,W 1,19800,2:10,2024,TOR
1,2,"Fri, Oct 27, 2023",8:00p,Chicago Bulls,L,103,104,1,1,L 1,19555,2:45,2024,TOR
2,3,"Sat, Oct 28, 2023",7:30p,Philadelphia 76ers,L,107,114,1,2,L 2,19800,2:10,2024,TOR
3,4,"Mon, Oct 30, 2023",7:30p,Portland Trail Blazers,L,91,99,1,3,L 3,19266,2:03,2024,TOR
4,5,"Wed, Nov 1, 2023",7:00p,Milwaukee Bucks,W,130,111,2,3,W 1,19800,2:19,2024,TOR
5,6,"Thu, Nov 2, 2023",7:00p,Philadelphia 76ers,L,99,114,2,4,L 1,19773,2:16,2024,TOR
6,7,"Sun, Nov 5, 2023",3:30p,San Antonio Spurs,W,123,116,3,4,W 1,18354,2:36,2024,TOR
7,8,"Wed, Nov 8, 2023",8:30p,Dallas Mavericks,W,127,116,4,4,W 2,20063,2:19,2024,TOR
8,9,"Sat, Nov 11, 2023",7:00p,Boston Celtics,L,94,117,4,5,L 1,19156,2:04,2024,TOR
9,10,"Mon, Nov 13, 2023",7:30p,Washington Wizards,W,111,107,5,5,W 1,19800,2:14,2024,TOR
10,11,"Wed, Nov 15, 2023",7:30p,Milwaukee Bucks,L,112,128,5,6,L 1,19800,2:15,2024,TOR
11,12,"Fri, Nov 17, 2023",7:30p,Boston Celtics,L,105,108,5,7,L 2,19800,2:02,2024,TOR
12,13,"Sun, Nov 19, 2023",4:00p,Detroit Pistons,W,142,113,6,7,W 1,19182,2:11,2024,TOR
13,14,"Tue, Nov 21, 2023",7:00p,Orlando Magic,L,107,126,6,8,L 1,18846,2:10,2024,TOR
14,15,"Wed, Nov 22, 2023",7:30p,Indiana Pacers,W,132,131,7,8,W 1,17091,2:19,2024,TOR
15,16,"Fri, Nov 24, 2023",7:30p,Chicago Bulls,W,121,108,8,8,W 2,19800,2:12,2024,TOR
16,17,"Sun, Nov 26, 2023",7:30p,Cleveland Cavaliers,L,102,105,8,9,L 1,19432,2:16,2024,TOR
17,18,"Tue, Nov 28, 2023",7:30p,Brooklyn Nets,L,103,115,8,10,L 2,15844,2:11,2024,TOR
18,19,"Wed, Nov 29, 2023",7:30p,Phoenix Suns,W,112,105,9,10,W 1,19800,2:12,2024,TOR
19,20,"Fri, Dec 1, 2023",7:30p,New York Knicks,L,106,119,9,11,L 1,19800,2:13,2024,TOR
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,TOR
21,21,"Wed, Dec 6, 2023",7:30p,Miami Heat,L,103,112,9,12,L 2,19084,2:10,2024,TOR
22,22,"Fri, Dec 8, 2023",7:00p,Charlotte Hornets,L,116,119,9,13,L 3,11526,2:17,2024,TOR
23,23,"Mon, Dec 11, 2023",7:30p,New York Knicks,L,130,136,9,14,L 4,19812,2:21,2024,TOR
24,24,"Wed, Dec 13, 2023",7:30p,Atlanta Hawks,W,135,128,10,14,W 1,19423,2:18,2024,TOR
25,25,"Fri, Dec 15, 2023",7:30p,Atlanta Hawks,L,104,125,10,15,L 1,19800,2:04,2024,TOR
26,26,"Mon, Dec 18, 2023",7:30p,Charlotte Hornets,W,114,99,11,15,W 1,19288,2:05,2024,TOR
27,27,"Wed, Dec 20, 2023",7:30p,Denver Nuggets,L,104,113,11,16,L 1,19800,1:57,2024,TOR
28,28,"Fri, Dec 22, 2023",7:00p,Philadelphia 76ers,L,111,121,11,17,L 2,20230,2:13,2024,TOR
29,29,"Sat, Dec 23, 2023",7:30p,Utah Jazz,L,119,126,11,18,L 3,19420,2:06,2024,TOR
30,30,"Wed, Dec 27, 2023",7:00p,Washington Wizards,W,132,102,12,18,W 1,15437,2:06,2024,TOR
31,31,"Fri, Dec 29, 2023",7:30p,Boston Celtics,L,118,120,12,19,L 1,19156,2:14,2024,TOR
32,32,"Sat, Dec 30, 2023",6:00p,Detroit Pistons,L,127,129,12,20,L 2,18411,2:25,2024,TOR
33,33,"Mon, Jan 1, 2024",7:30p,Cleveland Cavaliers,W,124,121,13,20,W 1,19800,2:28,2024,TOR
34,34,"Wed, Jan 3, 2024",8:00p,Memphis Grizzlies,W,116,111,14,20,W 2,16385,2:13,2024,TOR
35,35,"Fri, Jan 5, 2024",10:00p,Sacramento Kings,L,130,135,14,21,L 1,17941,2:21,2024,TOR
36,36,"Sun, Jan 7, 2024",8:30p,Golden State Warriors,W,133,118,15,21,W 1,18064,2:00,2024,TOR
37,37,"Tue, Jan 9, 2024",10:30p,Los Angeles Lakers,L,131,132,15,22,L 1,18997,2:28,2024,TOR
38,38,"Wed, Jan 10, 2024",10:30p,Los Angeles Clippers,L,120,126,15,23,L 2,19370,2:07,2024,TOR
39,39,"Fri, Jan 12, 2024",9:30p,Utah Jazz,L,113,145,15,24,L 3,18206,2:10,2024,TOR
40,40,"Mon, Jan 15, 2024",7:30p,Boston Celtics,L,96,105,15,25,L 4,19278,2:06,2024,TOR
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,TOR
42,41,"Wed, Jan 17, 2024",7:30p,Miami Heat,W,121,97,16,25,W 1,19631,2:01,2024,TOR
43,42,"Thu, Jan 18, 2024",7:30p,Chicago Bulls,L,110,116,16,26,L 1,19312,2:13,2024,TOR
44,43,"Sat, Jan 20, 2024",7:30p,New York Knicks,L,100,126,16,27,L 2,19812,2:11,2024,TOR
45,44,"Mon, Jan 22, 2024",7:30p,Memphis Grizzlies,L,100,108,16,28,L 3,18577,2:06,2024,TOR
46,45,"Fri, Jan 26, 2024",7:30p,Los Angeles Clippers,L,107,127,16,29,L 4,19800,2:11,2024,TOR
47,46,"Sun, Jan 28, 2024",6:00p,Atlanta Hawks,L,125,126,16,30,L 5,15658,2:20,2024,TOR
48,47,"Tue, Jan 30, 2024",8:00p,Chicago Bulls,W,118,107,17,30,W 1,21259,2:16,2024,TOR
49,48,"Fri, Feb 2, 2024",8:00p,Houston Rockets,L,106,135,17,31,L 1,18055,2:03,2024,TOR
50,49,"Sun, Feb 4, 2024",7:00p,Oklahoma City Thunder,L,127,135,17,32,L 2,17059,2:33,2024,TOR
51,50,"Mon, Feb 5, 2024",8:00p,New Orleans Pelicans,L,100,138,17,33,L 3,17429,1:59,2024,TOR
52,51,"Wed, Feb 7, 2024",7:00p,Charlotte Hornets,W,123,117,18,33,W 1,11720,2:12,2024,TOR
53,52,"Fri, Feb 9, 2024",7:30p,Houston Rockets,W,107,104,19,33,W 2,19800,2:19,2024,TOR
54,53,"Sat, Feb 10, 2024",7:30p,Cleveland Cavaliers,L,95,119,19,34,L 1,19800,2:03,2024,TOR
55,54,"Mon, Feb 12, 2024",7:30p,San Antonio Spurs,L,99,122,19,35,L 2,19800,2:05,2024,TOR
56,55,"Wed, Feb 14, 2024",7:30p,Indiana Pacers,L,125,127,19,36,L 3,19800,2:13,2024,TOR
57,56,"Thu, Feb 22, 2024",7:00p,Brooklyn Nets,W,121,93,20,36,W 1,19800,2:13,2024,TOR
58,57,"Fri, Feb 23, 2024",7:30p,Atlanta Hawks,W,123,121,21,36,W 2,17625,2:09,2024,TOR
59,58,"Mon, Feb 26, 2024",7:00p,Indiana Pacers,W,130,122,22,36,W 3,16026,2:19,2024,TOR
60,59,"Wed, Feb 28, 2024",7:30p,Dallas Mavericks,L,125,136,22,37,L 1,19800,2:09,2024,TOR
61,60,"Fri, Mar 1, 2024",7:30p,Golden State Warriors,L,105,120,22,38,L 2,19800,2:10,2024,TOR
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,TOR
63,61,"Sun, Mar 3, 2024",6:00p,Charlotte Hornets,W,111,106,23,38,W 1,19512,2:14,2024,TOR
64,62,"Tue, Mar 5, 2024",7:30p,New Orleans Pelicans,L,98,139,23,39,L 1,18864,2:00,2024,TOR
65,63,"Thu, Mar 7, 2024",9:00p,Phoenix Suns,L,113,120,23,40,L 2,17071,2:16,2024,TOR
66,64,"Sat, Mar 9, 2024",10:00p,Portland Trail Blazers,L,118,128,23,41,L 3,18117,2:24,2024,TOR
67,65,"Mon, Mar 11, 2024",9:00p,Denver Nuggets,L,119,125,23,42,L 4,19652,2:06,2024,TOR
68,66,"Wed, Mar 13, 2024",7:00p,Detroit Pistons,L,104,113,23,43,L 5,19313,2:18,2024,TOR
69,67,"Fri, Mar 15, 2024",7:30p,Orlando Magic,L,103,113,23,44,L 6,19800,2:14,2024,TOR
70,68,"Sun, Mar 17, 2024",6:00p,Orlando Magic,L,96,111,23,45,L 7,18846,2:10,2024,TOR
71,69,"Wed, Mar 20, 2024",7:30p,Sacramento Kings,L,89,123,23,46,L 8,18641,2:05,2024,TOR
72,70,"Fri, Mar 22, 2024",7:00p,Oklahoma City Thunder,L,103,123,23,47,L 9,19601,2:01,2024,TOR
73,71,"Sat, Mar 23, 2024",8:00p,Washington Wizards,L,109,112,23,48,L 10,15746,2:20,2024,TOR
74,72,"Mon, Mar 25, 2024",7:30p,Brooklyn Nets,L,88,96,23,49,L 11,18376,2:07,2024,TOR
75,73,"Wed, Mar 27, 2024",7:30p,New York Knicks,L,101,145,23,50,L 12,19133,2:06,2024,TOR
76,74,"Sun, Mar 31, 2024",6:00p,Philadelphia 76ers,L,120,135,23,51,L 13,19114,2:09,2024,TOR
77,75,"Tue, Apr 2, 2024",7:00p,Los Angeles Lakers,L,111,128,23,52,L 14,19800,2:06,2024,TOR
78,76,"Wed, Apr 3, 2024",8:00p,Minnesota Timberwolves,L,85,133,23,53,L 15,18024,2:00,2024,TOR
79,77,"Fri, Apr 5, 2024",8:00p,Milwaukee Bucks,W,117,111,24,53,W 1,17750,2:21,2024,TOR
80,78,"Sun, Apr 7, 2024",6:00p,Washington Wizards,W,130,122,25,53,W 2,19502,2:23,2024,TOR
81,79,"Tue, Apr 9, 2024",7:00p,Indiana Pacers,L,123,140,25,54,L 1,19325,2:17,2024,TOR
82,80,"Wed, Apr 10, 2024",7:30p,Brooklyn Nets,L,102,106,25,55,L 2,17732,2:20,2024,TOR
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,TOR
84,81,"Fri, Apr 12, 2024",8:00p,Miami Heat,L,103,125,25,56,L 3,19600,2:07,2024,TOR
85,82,"Sun, Apr 14, 2024",1:00p,Miami Heat,L,103,118,25,57,L 4,19600,2:06,2024,TOR
0,1,"Wed, Oct 25, 2023",7:00p,Atlanta Hawks,W,116,110,1,0,W 1,16129,2:22,2024,CHO
1,2,"Fri, Oct 27, 2023",7:00p,Detroit Pistons,L,99,111,1,1,L 1,15855,2:24,2024,CHO
2,3,"Mon, Oct 30, 2023",7:00p,Brooklyn Nets,L,121,133,1,2,L 2,14491,2:12,2024,CHO
3,4,"Wed, Nov 1, 2023",8:00p,Houston Rockets,L,119,128,1,3,L 3,16263,2:08,2024,CHO
4,5,"Sat, Nov 4, 2023",7:00p,Indiana Pacers,W,125,124,2,3,W 1,15945,2:32,2024,CHO
5,6,"Sun, Nov 5, 2023",7:30p,Dallas Mavericks,L,118,124,2,4,L 1,20052,2:22,2024,CHO
6,7,"Wed, Nov 8, 2023",7:00p,Washington Wizards,L,116,132,2,5,L 2,14267,2:16,2024,CHO
7,8,"Fri, Nov 10, 2023",7:00p,Washington Wizards,W,124,117,3,5,W 1,17602,2:15,2024,CHO
8,9,"Sun, Nov 12, 2023",12:00p,New York Knicks,L,107,129,3,6,L 1,19812,2:09,2024,CHO
9,10,"Tue, Nov 14, 2023",7:00p,Miami Heat,L,105,111,3,7,L 2,15673,2:14,2024,CHO
10,11,"Fri, Nov 17, 2023",7:00p,Milwaukee Bucks,L,99,130,3,8,L 3,19258,2:09,2024,CHO
11,12,"Sat, Nov 18, 2023",6:00p,New York Knicks,L,108,122,3,9,L 4,19171,2:02,2024,CHO
12,13,"Mon, Nov 20, 2023",7:00p,Boston Celtics,W,121,118,4,9,W 1,19134,2:19,2024,CHO
13,14,"Wed, Nov 22, 2023",7:00p,Washington Wizards,W,117,114,5,9,W 2,16432,2:12,2024,CHO
14,15,"Sun, Nov 26, 2023",6:00p,Orlando Magic,L,117,130,5,10,L 1,18846,2:16,2024,CHO
15,16,"Tue, Nov 28, 2023",7:30p,New York Knicks,L,91,115,5,11,L 2,19111,2:03,2024,CHO
16,17,"Thu, Nov 30, 2023",7:30p,Brooklyn Nets,W,129,128,6,11,W 1,16072,2:01,2024,CHO
17,18,"Sat, Dec 2, 2023",5:00p,Minnesota Timberwolves,L,117,123,6,12,L 1,17731,2:16,2024,CHO
18,19,"Wed, Dec 6, 2023",8:00p,Chicago Bulls,L,100,111,6,13,L 2,17689,2:17,2024,CHO
19,20,"Fri, Dec 8, 2023",7:00p,Toronto Raptors,W,119,116,7,13,W 1,11526,2:17,2024,CHO
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,CHO
21,21,"Mon, Dec 11, 2023",7:00p,Miami Heat,L,114,116,7,14,L 1,15543,2:22,2024,CHO
22,22,"Wed, Dec 13, 2023",7:30p,Miami Heat,L,104,115,7,15,L 2,19600,2:04,2024,CHO
23,23,"Fri, Dec 15, 2023",7:00p,New Orleans Pelicans,L,107,112,7,16,L 3,16080,2:15,2024,CHO
24,24,"Sat, Dec 16, 2023",7:00p,Philadelphia 76ers,L,82,135,7,17,L 4,17829,2:01,2024,CHO
25,25,"Mon, Dec 18, 2023",7:30p,Toronto Raptors,L,99,114,7,18,L 5,19288,2:05,2024,CHO
26,26,"Wed, Dec 20, 2023",7:00p,Indiana Pacers,L,113,144,7,19,L 6,16761,2:11,2024,CHO
27,27,"Sat, Dec 23, 2023",7:00p,Denver Nuggets,L,95,102,7,20,L 7,19165,2:09,2024,CHO
28,28,"Tue, Dec 26, 2023",10:30p,Los Angeles Clippers,L,104,113,7,21,L 8,19370,2:06,2024,CHO
29,29,"Thu, Dec 28, 2023",10:30p,Los Angeles Lakers,L,112,133,7,22,L 9,18997,2:03,2024,CHO
30,30,"Fri, Dec 29, 2023",9:00p,Phoenix Suns,L,119,133,7,23,L 10,17071,2:10,2024,CHO
31,31,"Mon, Jan 1, 2024",9:00p,Denver Nuggets,L,93,111,7,24,L 11,19625,2:01,2024,CHO
32,32,"Tue, Jan 2, 2024",10:00p,Sacramento Kings,W,111,104,8,24,W 1,17832,2:10,2024,CHO
33,33,"Fri, Jan 5, 2024",8:00p,Chicago Bulls,L,91,104,8,25,L 1,21345,2:06,2024,CHO
34,34,"Mon, Jan 8, 2024",7:00p,Chicago Bulls,L,112,119,8,26,L 2,14418,2:18,2024,CHO
35,35,"Wed, Jan 10, 2024",7:00p,Sacramento Kings,L,98,123,8,27,L 3,14173,2:02,2024,CHO
36,36,"Fri, Jan 12, 2024",8:00p,San Antonio Spurs,L,99,135,8,28,L 4,18073,2:21,2024,CHO
37,37,"Sun, Jan 14, 2024",6:00p,Miami Heat,L,87,104,8,29,L 5,19831,2:14,2024,CHO
38,38,"Wed, Jan 17, 2024",8:00p,New Orleans Pelicans,L,112,132,8,30,L 6,16093,2:04,2024,CHO
39,39,"Fri, Jan 19, 2024",7:00p,San Antonio Spurs,W,124,120,9,30,W 1,19093,2:10,2024,CHO
40,40,"Sat, Jan 20, 2024",7:00p,Philadelphia 76ers,L,89,97,9,31,L 1,18261,2:09,2024,CHO
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,CHO
42,41,"Mon, Jan 22, 2024",8:00p,Minnesota Timberwolves,W,128,125,10,31,W 1,18024,2:11,2024,CHO
43,42,"Wed, Jan 24, 2024",7:00p,Detroit Pistons,L,106,113,10,32,L 1,15020,2:10,2024,CHO
44,43,"Fri, Jan 26, 2024",7:00p,Houston Rockets,L,104,138,10,33,L 2,16164,2:14,2024,CHO
45,44,"Sat, Jan 27, 2024",7:00p,Utah Jazz,L,122,134,10,34,L 3,17633,2:04,2024,CHO
46,45,"Mon, Jan 29, 2024",7:00p,New York Knicks,L,92,113,10,35,L 4,15546,2:03,2024,CHO
47,46,"Wed, Jan 31, 2024",7:00p,Chicago Bulls,L,110,117,10,36,L 5,13712,2:09,2024,CHO
48,47,"Fri, Feb 2, 2024",8:00p,Oklahoma City Thunder,L,106,126,10,37,L 6,17552,2:04,2024,CHO
49,48,"Sun, Feb 4, 2024",6:00p,Indiana Pacers,L,99,115,10,38,L 7,15687,2:14,2024,CHO
50,49,"Mon, Feb 5, 2024",7:00p,Los Angeles Lakers,L,118,124,10,39,L 8,19375,2:02,2024,CHO
51,50,"Wed, Feb 7, 2024",7:00p,Toronto Raptors,L,117,123,10,40,L 9,11720,2:12,2024,CHO
52,51,"Fri, Feb 9, 2024",8:00p,Milwaukee Bucks,L,84,120,10,41,L 10,17690,2:08,2024,CHO
53,52,"Sat, Feb 10, 2024",7:00p,Memphis Grizzlies,W,115,106,11,41,W 1,17259,1:56,2024,CHO
54,53,"Mon, Feb 12, 2024",7:00p,Indiana Pacers,W,111,102,12,41,W 2,12112,2:04,2024,CHO
55,54,"Wed, Feb 14, 2024",7:00p,Atlanta Hawks,W,122,99,13,41,W 3,14336,2:06,2024,CHO
56,55,"Thu, Feb 22, 2024",9:00p,Utah Jazz,W,115,107,14,41,W 4,18206,2:14,2024,CHO
57,56,"Fri, Feb 23, 2024",10:00p,Golden State Warriors,L,84,97,14,42,L 1,18064,2:08,2024,CHO
58,57,"Sun, Feb 25, 2024",9:00p,Portland Trail Blazers,W,93,80,15,42,W 1,17888,1:56,2024,CHO
59,58,"Tue, Feb 27, 2024",8:00p,Milwaukee Bucks,L,85,123,15,43,L 1,17607,2:00,2024,CHO
60,59,"Thu, Feb 29, 2024",7:00p,Milwaukee Bucks,L,99,111,15,44,L 2,18463,2:10,2024,CHO
61,60,"Fri, Mar 1, 2024",7:00p,Philadelphia 76ers,L,114,121,15,45,L 3,19788,2:12,2024,CHO
